             rho            U_eq          phi_eq               q            j_eq            p_eq
      0.2837E+00      0.0000E+00      0.0000E+00      0.2161E+01      0.8544E+00      0.3199E-01
      0.2846E+00      0.0000E+00      0.0000E+00      0.2162E+01      0.8536E+00      0.3198E-01
      0.2854E+00      0.0000E+00      0.0000E+00      0.2163E+01      0.8528E+00      0.3198E-01
      0.2863E+00      0.0000E+00      0.0000E+00      0.2164E+01      0.8520E+00      0.3197E-01
      0.2872E+00      0.0000E+00      0.0000E+00      0.2165E+01      0.8512E+00      0.3196E-01
      0.2881E+00      0.0000E+00      0.0000E+00      0.2166E+01      0.8504E+00      0.3195E-01
      0.2890E+00      0.0000E+00      0.0000E+00      0.2167E+01      0.8496E+00      0.3194E-01
      0.2898E+00      0.0000E+00      0.0000E+00      0.2168E+01      0.8487E+00      0.3193E-01
      0.2907E+00      0.0000E+00      0.0000E+00      0.2169E+01      0.8479E+00      0.3192E-01
      0.2916E+00      0.0000E+00      0.0000E+00      0.2170E+01      0.8471E+00      0.3192E-01
      0.2925E+00      0.0000E+00      0.0000E+00      0.2171E+01      0.8463E+00      0.3191E-01
      0.2934E+00      0.0000E+00      0.0000E+00      0.2172E+01      0.8455E+00      0.3190E-01
      0.2942E+00      0.0000E+00      0.0000E+00      0.2173E+01      0.8447E+00      0.3189E-01
      0.2951E+00      0.0000E+00      0.0000E+00      0.2174E+01      0.8439E+00      0.3188E-01
      0.2960E+00      0.0000E+00      0.0000E+00      0.2175E+01      0.8430E+00      0.3187E-01
      0.2969E+00      0.0000E+00      0.0000E+00      0.2176E+01      0.8422E+00      0.3186E-01
      0.2978E+00      0.0000E+00      0.0000E+00      0.2177E+01      0.8414E+00      0.3186E-01
      0.2986E+00      0.0000E+00      0.0000E+00      0.2178E+01      0.8406E+00      0.3185E-01
      0.2995E+00      0.0000E+00      0.0000E+00      0.2179E+01      0.8398E+00      0.3184E-01
      0.3004E+00      0.0000E+00      0.0000E+00      0.2180E+01      0.8389E+00      0.3183E-01
      0.3013E+00      0.0000E+00      0.0000E+00      0.2182E+01      0.8381E+00      0.3182E-01
      0.3021E+00      0.0000E+00      0.0000E+00      0.2183E+01      0.8373E+00      0.3181E-01
      0.3030E+00      0.0000E+00      0.0000E+00      0.2184E+01      0.8365E+00      0.3180E-01
      0.3039E+00      0.0000E+00      0.0000E+00      0.2185E+01      0.8356E+00      0.3179E-01
      0.3048E+00      0.0000E+00      0.0000E+00      0.2186E+01      0.8348E+00      0.3179E-01
