               n               m        E_phi_nm        E_psi_nm          E_p_nm
     -0.2700E+02     -0.1670E+03      0.2742E-18      0.7114E-19      0.1661E-15
     -0.2600E+02     -0.1670E+03      0.1212E-18      0.2327E-19      0.1054E-15
     -0.2500E+02     -0.1670E+03      0.5788E-19      0.1044E-19      0.5902E-16
     -0.2400E+02     -0.1670E+03      0.2335E-19      0.3181E-20      0.2514E-16
     -0.2300E+02     -0.1670E+03      0.9053E-20      0.1182E-20      0.1166E-16
     -0.2200E+02     -0.1670E+03      0.3894E-20      0.5282E-21      0.6224E-17
     -0.2100E+02     -0.1670E+03      0.1307E-20      0.2019E-21      0.3404E-17
     -0.2000E+02     -0.1670E+03      0.4085E-21      0.1026E-21      0.2068E-17
     -0.1900E+02     -0.1670E+03      0.1897E-21      0.4776E-22      0.1470E-17
     -0.1800E+02     -0.1670E+03      0.5818E-22      0.2162E-22      0.8630E-18
     -0.1700E+02     -0.1670E+03      0.2460E-22      0.1035E-22      0.4906E-18
     -0.1600E+02     -0.1670E+03      0.7241E-23      0.5261E-23      0.3126E-18
     -0.1500E+02     -0.1670E+03      0.2860E-23      0.3027E-23      0.1807E-18
     -0.1400E+02     -0.1670E+03      0.1092E-23      0.2091E-23      0.1281E-18
     -0.1300E+02     -0.1670E+03      0.4660E-24      0.1332E-23      0.9247E-19
     -0.1200E+02     -0.1670E+03      0.1985E-24      0.7253E-24      0.6300E-19
     -0.1100E+02     -0.1670E+03      0.9789E-25      0.3682E-24      0.4060E-19
     -0.1000E+02     -0.1670E+03      0.4596E-25      0.2141E-24      0.2675E-19
     -0.9000E+01     -0.1670E+03      0.1809E-25      0.1292E-24      0.1921E-19
     -0.8000E+01     -0.1670E+03      0.6582E-26      0.8039E-25      0.1429E-19
     -0.7000E+01     -0.1670E+03      0.2776E-26      0.5386E-25      0.1041E-19
     -0.6000E+01     -0.1670E+03      0.1369E-26      0.3426E-25      0.6577E-20
     -0.5000E+01     -0.1670E+03      0.7022E-27      0.2080E-25      0.4040E-20
     -0.4000E+01     -0.1670E+03      0.3398E-27      0.1175E-25      0.2514E-20
     -0.3000E+01     -0.1670E+03      0.1944E-27      0.8146E-26      0.1667E-20
     -0.2000E+01     -0.1670E+03      0.1152E-27      0.5834E-26      0.1305E-20
     -0.1000E+01     -0.1670E+03      0.7279E-28      0.3522E-26      0.8185E-21
      0.0000E+00     -0.1670E+03      0.4344E-28      0.2190E-26      0.5962E-21
      0.1000E+01     -0.1670E+03      0.2351E-28      0.1077E-26      0.3329E-21
      0.2000E+01     -0.1670E+03      0.1152E-28      0.7121E-27      0.2176E-21
      0.3000E+01     -0.1670E+03      0.5035E-29      0.4633E-27      0.1512E-21
      0.4000E+01     -0.1670E+03      0.2534E-29      0.2468E-27      0.8067E-22
      0.5000E+01     -0.1670E+03      0.1434E-29      0.1526E-27      0.5675E-22
      0.6000E+01     -0.1670E+03      0.6531E-30      0.8992E-28      0.3038E-22
      0.7000E+01     -0.1670E+03      0.2839E-30      0.6369E-28      0.2376E-22
      0.8000E+01     -0.1670E+03      0.1886E-30      0.3644E-28      0.1421E-22
      0.9000E+01     -0.1670E+03      0.1126E-30      0.2517E-28      0.1050E-22
      0.1000E+02     -0.1670E+03      0.5526E-31      0.1669E-28      0.6457E-23
      0.1100E+02     -0.1670E+03      0.2836E-31      0.1240E-28      0.3959E-23
      0.1200E+02     -0.1670E+03      0.1669E-31      0.5309E-29      0.1876E-23
      0.1300E+02     -0.1670E+03      0.9353E-32      0.3527E-29      0.1251E-23
      0.1400E+02     -0.1670E+03      0.5611E-32      0.1726E-29      0.7182E-24
      0.1500E+02     -0.1670E+03      0.3215E-32      0.1570E-29      0.5068E-24
      0.1600E+02     -0.1670E+03      0.1780E-32      0.1028E-29      0.3546E-24
      0.1700E+02     -0.1670E+03      0.1020E-32      0.9402E-30      0.2910E-24
